Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2018-04-02,12:53 AM,37,24,59,SW,10,0,24.29,0.0,Fair
2018-04-03,12:53 AM,39,30,70,NE,24,32,24.27,0.0,Cloudy / Windy
2018-04-04,12:53 AM,33,10,38,S,5,0,24.60,0.0,Mostly Cloudy
2018-04-05,12:53 AM,47,20,34,WSW,7,0,24.55,0.0,Mostly Cloudy
2018-04-06,12:53 AM,43,30,60,SE,9,0,24.52,0.0,Cloudy
2018-04-08,12:53 AM,53,37,55,SSW,20,0,24.23,0.0,Mostly Cloudy
2018-04-09,12:53 AM,41,34,76,E,12,0,24.56,0.0,Light Rain
2018-04-10,12:53 AM,41,30,65,SSW,15,0,24.74,0.0,Fair
2018-04-12,12:53 AM,52,23,32,SSE,12,0,24.34,0.0,Mostly Cloudy
2018-04-11,12:53 AM,56,23,28,SSW,14,0,24.53,0.0,Mostly Cloudy
2018-04-15,12:53 AM,27,21,78,SSE,9,0,24.68,0.0,Fair
2018-04-14,12:53 AM,30,21,69,NNE,24,37,24.63,0.0,Cloudy / Windy
2018-04-02,1:53 AM,40,23,51,SW,14,17,24.28,0.0,Fair
2018-04-02,2:53 AM,33,23,66,E,3,0,24.26,0.0,Fair
2018-04-02,3:53 AM,35,23,61,NNW,5,0,24.25,0.0,Fair
2018-04-02,4:53 AM,33,23,66,ESE,6,0,24.23,0.0,Fair
2018-04-02,5:53 AM,32,24,73,SSE,8,0,24.21,0.0,Fair
2018-04-02,6:53 AM,36,24,62,SE,3,0,24.20,0.0,Mostly Cloudy
2018-04-02,7:53 AM,42,28,58,W,9,0,24.20,0.0,Partly Cloudy
2018-04-02,8:53 AM,50,27,41,E,5,0,24.19,0.0,Mostly Cloudy
2018-04-02,9:53 AM,62,28,28,VAR,7,0,24.18,0.0,Mostly Cloudy
2018-04-02,10:53 AM,68,22,17,CALM,0,0,24.17,0.0,Mostly Cloudy
2018-04-02,11:53 AM,70,20,15,CALM,0,0,24.15,0.0,Mostly Cloudy
2018-04-02,12:53 PM,71,18,13,NNW,3,0,24.11,0.0,Mostly Cloudy
2018-04-03,1:53 AM,38,27,65,ENE,16,0,24.30,0.0,Light Snow
2018-04-03,2:53 AM,34,17,50,ENE,15,0,24.33,0.0,Mostly Cloudy
2018-04-03,3:53 AM,35,16,46,N,15,25,24.35,0.0,Mostly Cloudy
2018-04-03,4:53 AM,32,11,42,N,20,35,24.42,0.0,Partly Cloudy
2018-04-03,5:53 AM,31,7,37,NW,18,30,24.46,0.0,Partly Cloudy
2018-04-03,6:53 AM,28,4,36,N,26,37,24.52,0.0,Partly Cloudy / Windy
2018-04-03,7:53 AM,29,6,38,N,20,30,24.55,0.0,Fair
2018-04-03,8:53 AM,30,8,40,NNE,23,0,24.58,0.0,Fair / Windy
2018-04-03,9:53 AM,36,4,26,N,20,28,24.60,0.0,Fair
2018-04-04,1:53 AM,37,7,29,SSW,17,0,24.57,0.0,Mostly Cloudy
2018-04-04,2:53 AM,35,7,31,WSW,14,0,24.56,0.0,Cloudy
2018-04-04,3:53 AM,34,9,35,W,6,0,24.56,0.0,Mostly Cloudy
2018-04-04,4:53 AM,28,10,47,NW,5,0,24.55,0.0,Partly Cloudy
2018-04-04,5:53 AM,24,11,57,W,13,0,24.56,0.0,Partly Cloudy
2018-04-04,6:53 AM,26,12,55,SW,10,0,24.55,0.0,Mostly Cloudy
2018-04-04,7:53 AM,29,12,49,WSW,6,0,24.55,0.0,Mostly Cloudy
2018-04-04,8:53 AM,35,13,40,N,5,0,24.56,0.0,Mostly Cloudy
2018-04-04,9:53 AM,44,14,30,NNW,5,0,24.55,0.0,Mostly Cloudy
2018-04-04,2:53 PM,61,9,13,ENE,8,0,24.50,0.0,Cloudy
2018-04-05,1:53 AM,43,20,40,W,10,0,24.54,0.0,Fair
2018-04-05,2:53 AM,48,21,34,W,13,0,24.54,0.0,Fair
2018-04-05,3:53 AM,42,21,43,SW,8,0,24.54,0.0,Fair
2018-04-05,4:53 AM,42,21,43,WSW,6,0,24.54,0.0,Fair
2018-04-05,5:53 AM,39,21,49,SW,8,0,24.53,0.0,Fair
2018-04-05,6:53 AM,40,21,47,SW,8,0,24.54,0.0,Fair
2018-04-05,7:53 AM,48,24,39,SW,8,0,24.55,0.0,Partly Cloudy
2018-04-05,8:53 AM,53,24,32,SSW,9,0,24.55,0.0,Mostly Cloudy
2018-04-05,9:53 AM,58,22,25,SW,9,0,24.54,0.0,Mostly Cloudy
2018-04-05,10:53 AM,61,22,22,WSW,8,0,24.54,0.0,Partly Cloudy
2018-04-05,11:53 AM,62,21,21,WSW,9,0,24.52,0.0,Mostly Cloudy
2018-04-05,12:53 PM,63,23,22,WNW,16,25,24.52,0.0,Mostly Cloudy
2018-04-07,12:53 AM,24,20,84,SSE,7,0,24.56,0.0,Cloudy
2018-04-07,1:53 AM,25,21,85,N,7,0,24.56,0.0,Cloudy
2018-04-07,2:53 AM,24,21,88,N,6,0,24.55,0.0,Cloudy
2018-04-07,3:53 AM,23,20,88,N,5,0,24.56,0.0,Light Snow
2018-04-06,1:53 AM,43,29,58,SE,12,0,24.51,0.0,Cloudy
2018-04-06,2:53 AM,42,29,60,S,8,0,24.49,0.0,Cloudy
2018-04-06,3:53 AM,42,27,55,S,12,0,24.47,0.0,Mostly Cloudy
2018-04-06,4:53 AM,38,26,62,ENE,3,0,24.47,0.0,Mostly Cloudy
2018-04-06,5:53 AM,37,26,65,ENE,10,0,24.48,0.0,Mostly Cloudy
2018-04-06,6:53 AM,36,25,64,E,16,0,24.47,0.0,Cloudy
2018-04-06,7:53 AM,34,26,73,E,20,0,24.51,0.0,Cloudy
2018-04-06,8:53 AM,34,24,67,E,24,0,24.53,0.0,Cloudy / Windy
2018-04-06,9:53 AM,34,24,67,ENE,21,29,24.58,0.0,Cloudy / Windy
2018-04-08,1:53 AM,57,36,45,SSW,20,0,24.18,0.0,Mostly Cloudy
2018-04-08,2:53 AM,57,35,44,SW,12,0,24.20,0.0,Mostly Cloudy
2018-04-08,3:53 AM,51,37,59,NNW,9,0,24.21,0.0,Mostly Cloudy
